iteration	t (ms)	leakageParameters:E_L (mV)	leakageParameters:g_L (mS_per_cm2)	membraneParameters:Cm (microF_per_cm2)	potassiumChannelParameters:E_K (mV)	potassiumChannelParameters:g_K (milliS_per_cm2)	sodiumChannelParameters:E_Na (mV)	sodiumChannelParameters:g_Na (mS_per_cm2)	controller:i_stim (microA_per_cm2)	sodiumChannelEquations:Na_conductance (mS_per_cm2)	sodiumChannelEquations:i_Na (microA_per_cm2)	mGateEquations:alpha_m (per_ms)	mGateEquations:beta_m (per_ms)	hGateEquations:alpha_h (per_ms)	hGateEquations:beta_h (per_ms)	potassiumChannelEquations:i_K (microA_per_cm2)	nGateEquations:alpha_n (per_ms)	nGateEquations:beta_n (per_ms)	leakageEquations:i_L (microA_per_cm2)	membraneEquations:i_tot (microA_per_cm2)	importedGateM:X (dimensionless)	importedGateH:X (dimensionless)	importedGate:X (dimensionless)	membraneEquations:V (mV)
0	 0-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.009	 -0.306	 5.13128	 0.0586641	 0.00156595	 0.990048	 34.541	 0.0548857	 0.126572	 16.62	 50.855	 	0.0987179	0.594066	0.324959	0.49145
1	 0.01-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.0685809	 -2.36663	 5.08174	 0.0603451	 0.00160628	 0.989534	 34.3194	 0.0565513	 0.12577	 16.4674	 48.4202	 	0.144459	0.588194	0.324932	0.00724801
2	 0.02-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.212783	 -7.44586	 5.03462	 0.0619904	 0.00164565	 0.989021	 34.1137	 0.0581731	 0.125011	 16.3222	 42.99	 	0.187443	0.582383	0.324919	-0.422652
3	 0.03-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.460253	 -16.3034	 4.99283	 0.0634888	 0.0016814	 0.988544	 33.9356	 0.0596427	 0.124341	 16.1932	 33.8254	 	0.227893	0.576633	0.324917	-0.760906
4	 0.04-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 0.818986	 -29.2877	 4.95997	 0.0646932	 0.00171008	 0.988155	 33.7993	 0.0608187	 0.123817	 16.0917	 20.6033	 	0.266042	0.570943	0.324926	-0.96694
5	 0.05-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.29011	 -46.4012	 4.93997	 0.0654379	 0.00172779	 0.987911	 33.7201	 0.0615437	 0.123498	 16.0299	 3.34879	 	0.302125	0.56531	0.32494	-1.00043
6	 0.06-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.87081	 -67.3499	 4.93672	 0.0655598	 0.00173068	 0.987871	 33.7125	 0.0616621	 0.123447	 16.0199	 -17.6176	 	0.33638	0.559733	0.324955	-0.824252
7	 0.07-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.55653	 -91.5857	 4.95382	 0.0649212	 0.00171551	 0.98808	 33.7895	 0.0610409	 0.123719	 16.0727	 -41.7234	 	0.369036	0.554209	0.324965	-0.407017
8	 0.08-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 3.34241	 -118.345	 4.99435	 0.0634337	 0.00168009	 0.988562	 33.9612	 0.0595888	 0.124366	 16.1979	 -68.1859	 	0.400314	0.548738	0.324963	0.274841
9	 0.09-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 4.22425	 -146.688	 5.06066	 0.0610757	 0.00162377	 0.989308	 34.2341	 0.0572725	 0.12543	 16.4025	 -96.0511	 	0.430418	0.543317	0.324942	1.23535
10	 0.1-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 5.19882	 -175.536	 5.15423	 0.057902	 0.00154763	 0.990277	 34.6108	 0.0541278	 0.126945	 16.6906	 -124.235	 	0.459526	0.537944	0.324895	2.4777
11	 0.11-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 6.26395	 -203.718	 5.27552	 0.0540405	 0.00145442	 0.991404	 35.089	 0.0502613	 0.128932	 17.0633	 -151.566	 	0.487791	0.532617	0.324815	3.99336
12	 0.12-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 7.41816	 -230.012	 5.42385	 0.0496764	 0.00134828	 0.992604	 35.662	 0.0458422	 0.131398	 17.518	 -176.832	 	0.51533	0.527337	0.324698	5.76168
13	 0.13-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 8.66014	 -253.208	 5.59737	 0.0450282	 0.00123419	 0.993795	 36.3182	 0.0410847	 0.134335	 18.0485	 -198.841	 	0.542226	0.522102	0.324539	7.75009
14	 0.14-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 9.988	 -272.172	 5.79299	 0.040319	 0.00111738	 0.994908	 37.0413	 0.0362222	 0.137715	 18.645	 -216.486	 	0.568527	0.516913	0.324337	9.91495
15	 0.15-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 11.3986	 -285.934	 6.00651	 0.0357501	 0.00100275	 0.995895	 37.8115	 0.0314787	 0.141493	 19.2945	 -228.828	 	0.59424	0.51177	0.324091	12.2032
16	 0.16-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 12.8867	 -293.775	 6.23272	 0.0314823	 0.000894343	 0.996732	 38.6056	 0.0270431	 0.145599	 19.981	 -235.188	 	0.619343	0.506673	0.323802	14.5551
17	 0.17-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 14.4445	 -295.316	 6.46567	 0.0276262	 0.000795121	 0.997415	 39.3988	 0.0230513	 0.149943	 20.6865	 -235.231	 	0.643784	0.501623	0.323472	16.9074
18	 0.18-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 16.0612	 -290.589	 6.69906	 0.0242419	 0.000706893	 0.997956	 40.1657	 0.0195796	 0.154417	 21.3922	 -229.031	 	0.667491	0.496621	0.323105	19.1977
19	 0.19-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 17.7232	 -280.067	 6.92662	 0.0213455	 0.000630406	 0.998374	 40.8823	 0.0166491	 0.158902	 22.0793	 -217.105	 	0.69038	0.491666	0.322704	21.3688
20	 0.2-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 19.414	 -264.637	 7.14256	 0.0189202	 0.000565557	 0.998691	 41.5275	 0.0142379	 0.163273	 22.7306	 -200.379	 	0.712364	0.486759	0.322274	23.3726
21	 0.21-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 21.1155	 -245.519	 7.34204	 0.016927	 0.00051164	 0.998928	 42.0845	 0.0122956	 0.167414	 23.3318	 -180.102	 	0.733362	0.481899	0.321818	25.1736
22	 0.22-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 22.8083	 -224.123	 7.52145	 0.0153153	 0.00046758	 0.999105	 42.5422	 0.010758	 0.171226	 23.8721	 -157.709	 	0.753305	0.477087	0.32134	26.7507
23	 0.23-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 24.4732	 -201.887	 7.67863	 0.0140305	 0.000432126	 0.999235	 42.8953	 0.00955771	 0.174635	 24.3452	 -134.646	 	0.772142	0.472322	0.320843	28.0971
24	 0.24-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 26.0922	 -180.11	 7.81288	 0.0130193	 0.000403991	 0.999331	 43.1446	 0.00863146	 0.177599	 24.7491	 -112.217	 	0.789843	0.467604	0.320332	29.2193
25	 0.25-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 27.6492	 -159.831	 7.92481	 0.0122324	 0.000381948	 0.999402	 43.2956	 0.00792343	 0.180108	 25.0858	 -91.4499	 	0.806401	0.462933	0.319809	30.1338
26	 0.26-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 29.1308	 -141.756	 8.01603	 0.0116264	 0.000364877	 0.999455	 43.3579	 0.00738655	 0.182178	 25.3601	 -73.038	 	0.821827	0.458308	0.319277	30.8642
27	 0.27-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 30.5266	 -126.252	 8.08891	 0.0111641	 0.000351792	 0.999493	 43.3431	 0.00698219	 0.183849	 25.5793	 -57.3299	 	0.836147	0.453729	0.318737	31.4375
28	 0.28-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 31.8292	 -113.392	 8.14612	 0.0108142	 0.000341851	 0.999521	 43.264	 0.0066793	 0.185171	 25.7512	 -44.3766	 	0.849404	0.449196	0.318192	31.8813
29	 0.29-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 33.0339	 -103.024	 8.1904	 0.0105508	 0.00033435	 0.999542	 43.1327	 0.00645328	 0.186202	 25.8844	 -34.0072	 	0.861649	0.444708	0.317644	32.2213
30	 0.3-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 34.1387	 -94.8602	 8.22434	 0.0103533	 0.000328713	 0.999557	 42.9607	 0.00628492	 0.186995	 25.9864	 -25.9131	 	0.872938	0.440264	0.317093	32.4805
31	 0.31-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 35.1435	 -88.5455	 8.25021	 0.0102054	 0.000324481	 0.999569	 42.7577	 0.0061594	 0.187601	 26.0641	 -19.7237	 	0.883332	0.435865	0.31654	32.6777
32	 0.32-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 36.05	 -83.7191	 8.26989	 0.0100941	 0.000321297	 0.999577	 42.5316	 0.00606542	 0.188064	 26.1233	 -15.0642	 	0.892891	0.43151	0.315986	32.8283
33	 0.33-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 36.8611	 -80.0498	 8.28493	 0.01001	 0.000318886	 0.999583	 42.2888	 0.00599455	 0.188419	 26.1685	 -11.5925	 	0.901676	0.427199	0.315432	32.9443
34	 0.34-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 37.5805	 -77.2556	 8.2965	 0.00994576	 0.000317043	 0.999588	 42.0341	 0.00594054	 0.188692	 26.2033	 -9.0182	 	0.909744	0.42293	0.314877	33.0344
35	 0.35-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 38.2126	 -75.109	 8.3055	 0.00989605	 0.000315617	 0.999592	 41.7712	 0.00589884	 0.188905	 26.2303	 -7.10749	 	0.91715	0.418705	0.314323	33.1055
36	 0.36-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 38.7623	 -73.4344	 8.3126	 0.00985705	 0.000314497	 0.999595	 41.5028	 0.00586617	 0.189073	 26.2517	 -5.68	 	0.923946	0.414521	0.313769	33.1623
37	 0.37-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 39.2345	 -72.1004	 8.31827	 0.009826	 0.000313605	 0.999597	 41.2307	 0.00584018	 0.189207	 26.2687	 -4.60103	 	0.930182	0.410379	0.313215	33.2083
38	 0.38-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 39.6342	 -71.0114	 8.32286	 0.00980091	 0.000312884	 0.999599	 40.9564	 0.0058192	 0.189316	 26.2825	 -3.77249	 	0.935902	0.406279	0.312662	33.2461
39	 0.39-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 39.9665	 -70.099	 8.32662	 0.00978039	 0.000312295	 0.9996	 40.6809	 0.00580206	 0.189405	 26.2938	 -3.12428	 	0.941147	0.40222	0.31211	33.2773
40	 0.4-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 40.2363	 -69.315	 8.32974	 0.00976343	 0.000311807	 0.999602	 40.4049	 0.0057879	 0.189479	 26.3032	 -2.60693	 	0.945958	0.398201	0.311558	33.3034
41	 0.41-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 40.4482	 -68.6257	 8.33235	 0.0097493	 0.000311401	 0.999603	 40.1289	 0.0057761	 0.189541	 26.311	 -2.18574	 	0.950368	0.394223	0.311008	33.3252
42	 0.42-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 40.6068	 -68.0072	 8.33453	 0.00973747	 0.000311061	 0.999604	 39.8533	 0.00576623	 0.189593	 26.3176	 -1.8364	 	0.954412	0.390284	0.310458	33.3436
43	 0.43-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 40.7165	 -67.4432	 8.33636	 0.00972754	 0.000310776	 0.999604	 39.5783	 0.00575795	 0.189636	 26.3231	 -1.54182	 	0.95812	0.386384	0.309909	33.359
44	 0.44-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 40.7812	 -66.9217	 8.3379	 0.00971921	 0.000310536	 0.999605	 39.3042	 0.00575101	 0.189673	 26.3277	 -1.28984	 	0.961519	0.382524	0.309361	33.3719
