iteration	t(ms)	m	h	n	V(mV)	E_L(mV)	g_L(mS_per_cm2)	Cm(microF_per_cm2)	E_K(mV)	g_K(milliS_per_cm2)	E_Na(mV)	g_Na(mS_per_cm2)	i_stim(microA_per_cm2)	Na_conductance(mS_per_cm2)	i_Na(microA_per_cm2)	alpha_m(per_ms)	beta_m(per_ms)	alpha_h(per_ms)	beta_h(per_ms)	i_K(microA_per_cm2)	alpha_n(per_ms)	beta_n(per_ms)	i_L(microA_per_cm2)	i_tot(microA_per_cm2)
0	0	0.050123855	0.599995445	0.324986584	-75.00600769	-64.387	0.3	1	-87	36	40	120	0	0.009	-1.035	0.223563725	4	0.07	0.047425873	4.81966875	0.058197671	0.125	-3.1839	0.60076875
1	0.01	0.050240931	0.599991142	0.324973025	-75.0118877	-64.387	0.3	1	-87	36	40	120	0	0.009066979	-1.042757043	0.223471144	4.001335264	0.07002103	0.04739874	4.816460468	0.058177326	0.125009387	-3.185702306	0.588001119
2	0.02	0.050351543	0.599987085	0.324959327	-75.01764472	-64.387	0.3	1	-87	36	40	120	0	0.009130596	-1.050127064	0.223380564	4.002642583	0.070041619	0.047372197	4.813295857	0.058157418	0.125018576	-3.18746631	0.575702484
3	0.03	0.050455994	0.59998327	0.324945493	-75.02328328	-64.387	0.3	1	-87	36	40	120	0	0.009190973	-1.057124106	0.223291909	4.003922972	0.070061784	0.047346224	4.810173252	0.058137932	0.125027573	-3.189193417	0.563855729
4	0.04	0.050554573	0.599979691	0.324931527	-75.02880772	-64.387	0.3	1	-87	36	40	120	0	0.009248232	-1.063761962	0.223205108	4.00517741	0.070081539	0.047320798	4.807091049	0.058118852	0.125036385	-3.190884984	0.552444104
5	0.05	0.050647555	0.599976343	0.324917432	-75.03422223	-64.387	0.3	1	-87	36	40	120	0	0.009302488	-1.070054149	0.223120092	4.006406841	0.0701009	0.047295899	4.804047705	0.058100162	0.12504502	-3.192542317	0.541451239
6	0.06	0.050735202	0.599973222	0.324903212	-75.03953085	-64.387	0.3	1	-87	36	40	120	0	0.009353859	-1.076013894	0.223036796	4.007612175	0.07011988	0.047271508	4.801041733	0.058081849	0.125053484	-3.19416667	0.530861168
7	0.07	0.050817767	0.599970322	0.324888869	-75.04473743	-64.387	0.3	1	-87	36	40	120	0	0.009402456	-1.081654114	0.222955154	4.008794286	0.070138495	0.047247605	4.798071703	0.058063899	0.125061782	-3.195759254	0.520658335
8	0.08	0.050895489	0.599967638	0.324874408	-75.04984571	-64.387	0.3	1	-87	36	40	120	0	0.009448389	-1.086987404	0.222875107	4.009954016	0.070156756	0.047224173	4.795136244	0.058046297	0.125069922	-3.197321229	0.510827612
9	0.09	0.050968597	0.599965168	0.324859831	-75.05485925	-64.387	0.3	1	-87	36	40	120	0	0.009491764	-1.092026026	0.222796596	4.011092175	0.070174678	0.047201194	4.792234036	0.058029032	0.125077908	-3.198853712	0.501354298
